activation,optimizer,learning_rate,architecture,batch_size,training_time,val_metrics,test_metrics,train_loss_history,val_loss_history
relu,batch,0.01,"[5000, 128, 64, 90]",32,2.4038233757019043,"{'Hamming Loss': array(0.01367796), 'Accuracy': array(0.), 'Precision': 0, 'Recall': array(0.), 'F1 Score': 0}","{'Hamming Loss': array(0.0137794), 'Accuracy': array(0.), 'Precision': 0, 'Recall': array(0.), 'F1 Score': 0}","[0.6924140533350341, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672]","[0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251]"
relu,batch,0.01,"[5000, 128, 64, 90]",32,3.602982521057129,"{'Hamming Loss': array(0.01367796), 'Accuracy': array(0.), 'Precision': 0, 'Recall': array(0.), 'F1 Score': 0}","{'Hamming Loss': array(0.0137794), 'Accuracy': array(0.), 'Precision': 0, 'Recall': array(0.), 'F1 Score': 0}","[0.6928301316816243, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672]","[0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251]"
relu,batch,0.001,"[5000, 128, 90]",32,2.3888542652130127,"{'Hamming Loss': array(0.01367796), 'Accuracy': array(0.), 'Precision': 0, 'Recall': array(0.), 'F1 Score': 0}","{'Hamming Loss': array(0.0137794), 'Accuracy': array(0.), 'Precision': 0, 'Recall': array(0.), 'F1 Score': 0}","[0.692603205345883, 0.06927774020414233, 3.261710156455122, 0.2621675343021102, 0.10969031879598436, 0.08647630360663858, 0.0770834923137548, 0.07199855943174217, 0.06869992219737285, 0.06655477247355494, 0.0647612038436789, 0.06319065120091255, 0.061814691001814595, 0.060616399801859774, 0.05958374878569688, 0.05870439936469413, 0.05796206313284537, 0.05733576234223916, 0.056802309267902334, 0.05634044156428496]","[0.07024173929989024, 3.2607863331846967, 0.26385058978720743, 0.11002997804992264, 0.08701353817149454, 0.07776888202038229, 0.0728123185652622, 0.06959721827069278, 0.06746026622503465, 0.06563762490541833, 0.06403797083807312, 0.06263456986221377, 0.06141001093329149, 0.060351864775045866, 0.05944738832458813, 0.05867999117513863, 0.05802853424651895, 0.05746991809243893, 0.0569831883531021, 0.05655225040468181]"
relu,batch,0.001,"[5000, 128, 90]",32,3.5828969478607178,"{'Hamming Loss': array(0.01367796), 'Accuracy': array(0.), 'Precision': 0, 'Recall': array(0.), 'F1 Score': 0}","{'Hamming Loss': array(0.0137794), 'Accuracy': array(0.), 'Precision': 0, 'Recall': array(0.), 'F1 Score': 0}","[0.6930423232355881, 0.07354224769542048, 1.8260257161309024, 0.403109770066792, 0.21888669127883043, 0.09124836669329532, 0.07837356910423149, 0.07268480796003278, 0.06973011294027319, 0.0672807734515422, 0.06518581431457082, 0.06336184556930825, 0.061761334813856754, 0.06035710196075645, 0.05913362957760555, 0.05808083627004502, 0.057188833571761105, 0.05644371921417552, 0.05582567575566277, 0.05531057214617782, 0.05487420241588634, 0.05449625283247762, 0.05416181864495621, 0.053860737575220786, 0.053586181052200414, 0.05333346250148555, 0.05309927024562935, 0.0528812101731954, 0.05267751960853675, 0.05248687198573336]","[0.07383187567374185, 1.8266756902555106, 0.40405290393047927, 0.21754096533799674, 0.09118020918741612, 0.07822205868560576, 0.07254592855140612, 0.06958358390155221, 0.0671284390695403, 0.06502779327372256, 0.06319916430023055, 0.06159488222175084, 0.06018804532367451, 0.05896313914069772, 0.05791008606835767, 0.057018873400959146, 0.056275446902369214, 0.05565985607675542, 0.05514794022027741, 0.05471558495879642, 0.05434264533423394, 0.054014377408552854, 0.053720703406530984, 0.05345477664386423, 0.05321180015767002, 0.052988288722142715, 0.05278164247983138, 0.05258988616260274, 0.05241149097450858, 0.05224524316515924]"
relu,batch,0.001,"[5000, 128, 64, 90]",32,2.401383399963379,"{'Hamming Loss': array(0.01367796), 'Accuracy': array(0.), 'Precision': 0, 'Recall': array(0.), 'F1 Score': 0}","{'Hamming Loss': array(0.0137794), 'Accuracy': array(0.), 'Precision': 0, 'Recall': array(0.), 'F1 Score': 0}","[0.69311421617058, 0.2074896951965417, 7.813809197778569, 4.189736546197688, 0.35601076036508894, 0.280764265797289, 0.2732553447384236, 0.07774820342297467, 0.07126870417108322, 0.06643875825314828, 0.06332917825780991, 0.06161981151336577, 0.06035727890042507, 0.05918208451357344, 0.058105093446439306, 0.05700590492678933, 0.055785064826966935, 0.054546324529091327, 0.05386558133173412, 0.05825747426114931]","[0.20723733116596846, 7.813044548284544, 4.190293305309379, 0.3563711797306393, 0.27912513621798424, 0.2724832436965902, 0.07699561007681056, 0.07069518488403145, 0.0660418594356613, 0.06307140371889561, 0.06143140256215345, 0.060179204918104176, 0.0590169243498121, 0.057949284097184035, 0.05686610610260228, 0.055665595773840525, 0.05445503783313249, 0.053779847485841185, 0.058153486371686706, 0.0614009536859589]"
relu,batch,0.001,"[5000, 128, 64, 90]",32,3.6013386249542236,"{'Hamming Loss': array(0.01367796), 'Accuracy': array(0.), 'Precision': 0, 'Recall': array(0.), 'F1 Score': 0}","{'Hamming Loss': array(0.0137794), 'Accuracy': array(0.), 'Precision': 0, 'Recall': array(0.), 'F1 Score': 0}","[0.6929283776143698, 0.3141634963509552, 7.82811627164229, 4.7559476661729985, 1.6268127964776156, 0.21441533550322078, 0.2934433759852876, 0.28493531993515486, 0.28543121272314886, 0.28336737003591694, 0.2790597658063147, 0.27706645431060883, 0.27434918170817696, 0.08431990844158448, 0.07065263231896873, 0.06848990740741841, 0.06689486093010935, 0.0655546117739498, 0.06439203952473531, 0.0633586491916857, 0.06242091608767484, 0.06155590735180772, 0.060749251375026014, 0.05999290282386321, 0.05928309761431592, 0.058618792605182254, 0.0580004597256344, 0.05742900522700816, 0.05690474309876989, 0.05642658060792751]","[0.31389760977023284, 7.828665228354086, 4.754779416638059, 1.6290743687554146, 0.21695248069913978, 0.29320877347382324, 0.2838685607196349, 0.28395206338546797, 0.2827206437703276, 0.2785863696628347, 0.2755562778127594, 0.2724717543990394, 0.08459360653275068, 0.07103347927664147, 0.06891078038918451, 0.06731604137414864, 0.06597329278030925, 0.06480472729171018, 0.06376321723293928, 0.06281531014260772, 0.06193875799029027, 0.06111957215125114, 0.06035013678601102, 0.05962697520992776, 0.05894927962725871, 0.05831769145925359, 0.05773325962939319, 0.057196427689319984, 0.05670623958408352, 0.05626002464735485]"
relu,sgd,0.01,"[5000, 128, 90]",32,192.21544194221497,"{'Hamming Loss': array(0.00482625), 'Accuracy': array(0.70785071), 'Precision': array(0.95050946), 'Recall': array(0.68269733), 'F1 Score': array(0.79464557)}","{'Hamming Loss': array(0.00506054), 'Accuracy': array(0.72540576), 'Precision': array(0.88495288), 'Recall': array(0.72729701), 'F1 Score': array(0.79841665)}","[0.05282860552225027, 0.042059969206968, 0.03874925297042465, 0.03521215893215472, 0.03237069515130617, 0.030166379702522842, 0.02837530862812926, 0.02685316359648242, 0.025458102284265267, 0.02423934573944989, 0.023172045697975856, 0.02217459538297647, 0.02128814814848407, 0.02042638763389194, 0.019684793614728083, 0.01894167920427919, 0.018294505063913957, 0.01760442364386108, 0.017006835476276964, 0.016480840769222453]","[0.04425028680292088, 0.04042517031320833, 0.036957034335379224, 0.03366130605747284, 0.03162457708051708, 0.029323566518620413, 0.02768040707591002, 0.026503669417881424, 0.025468514559942843, 0.02417302907595696, 0.023112720269707444, 0.022607363415158076, 0.021443624021230012, 0.020704219073796996, 0.020117895716041685, 0.019503892797359187, 0.019043580545628467, 0.018618583068809164, 0.018088828353137434, 0.017545587962854353]"
relu,sgd,0.01,"[5000, 128, 90]",32,286.03061294555664,"{'Hamming Loss': array(0.0042757), 'Accuracy': array(0.74903475), 'Precision': array(0.93514229), 'Recall': array(0.73863042), 'F1 Score': array(0.82535047)}","{'Hamming Loss': array(0.00497221), 'Accuracy': array(0.73699901), 'Precision': array(0.84531025), 'Recall': array(0.78231838), 'F1 Score': array(0.81259537)}","[0.052768462651121735, 0.04209296788228321, 0.03861965945031309, 0.03512260508645508, 0.03239747746057049, 0.03029609355650645, 0.028536093257862213, 0.02700664249162617, 0.025634086860747578, 0.02441041593682363, 0.023389497769273133, 0.02236897051896603, 0.021447135220708256, 0.020629157948870193, 0.019764791744933865, 0.01903247209405277, 0.018333100496464208, 0.01767155337235342, 0.017098966723327915, 0.016514822087889416, 0.015960769042776293, 0.015475273833939665, 0.015037147371191857, 0.014582428356993714, 0.014124902019861607, 0.013726020838568121, 0.0133904572383165, 0.013014400386503344, 0.012666070749369398, 0.012357959898475476]","[0.04340292268373397, 0.039847296237817575, 0.03659302967514568, 0.03342952322203472, 0.03105460224327969, 0.029499020622953256, 0.02805860601916104, 0.026528950274724888, 0.025927211820697727, 0.02430382149024587, 0.023335072462867874, 0.022806240420251558, 0.022058286586578244, 0.02097886121318498, 0.02045493056740592, 0.02012237566587507, 0.019017756792240343, 0.018466018766434448, 0.01798968598988558, 0.01774811375790403, 0.017717059977060585, 0.016843851866472966, 0.01689913695653667, 0.016466617139681325, 0.015878893157898085, 0.015595330824472134, 0.015374633647490189, 0.014972005868858619, 0.015061783178482143, 0.014889529179070238]"
relu,sgd,0.01,"[5000, 128, 64, 90]",32,235.59297585487366,"{'Hamming Loss': array(0.00363935), 'Accuracy': array(0.78442728), 'Precision': array(0.95), 'Recall': array(0.77469942), 'F1 Score': array(0.85344083)}","{'Hamming Loss': array(0.00411836), 'Accuracy': array(0.78072209), 'Precision': array(0.89074129), 'Recall': array(0.7991453), 'F1 Score': array(0.84246093)}","[0.04910005016971957, 0.037192827094498504, 0.03137494307035525, 0.027323360865593917, 0.024067332306909866, 0.021491470372494114, 0.019467723183984622, 0.01785933037343419, 0.016283327991201243, 0.014988282100933064, 0.01397400454259679, 0.012970365656835906, 0.012173502548253747, 0.011373520988599796, 0.010689790764926073, 0.010191034822222066, 0.009575389249243895, 0.009046828306548177, 0.008708493386846738, 0.00826455530724377]","[0.04547720923175279, 0.03413257610642049, 0.028532447231457345, 0.027186817387262762, 0.023177381947136852, 0.021604475630338217, 0.018750764501906027, 0.017947799135559807, 0.017213753770710813, 0.017770763012964423, 0.016154026515801837, 0.015188407473114892, 0.014622760802856167, 0.014846269001088654, 0.014598517240887487, 0.014011937507335972, 0.01597708169022274, 0.012795813855666834, 0.014345920961550714, 0.013209516953202162]"
relu,sgd,0.01,"[5000, 128, 64, 90]",32,354.49932074546814,"{'Hamming Loss': array(0.00335335), 'Accuracy': array(0.8037323), 'Precision': array(0.92470588), 'Recall': array(0.82174595), 'F1 Score': array(0.87019098)}","{'Hamming Loss': array(0.0044496), 'Accuracy': array(0.77376615), 'Precision': array(0.85454545), 'Recall': array(0.81597222), 'F1 Score': array(0.8348135)}","[0.049159912151462315, 0.038011230591846065, 0.03132194219966062, 0.02715885540627013, 0.024160822179006634, 0.021612629600797486, 0.019458630901781793, 0.017753057283733307, 0.016285475174288907, 0.015042955420213588, 0.01419137425938949, 0.01320365884186475, 0.01236111985630995, 0.011506447951736306, 0.010874706014938538, 0.01030665016449496, 0.009718130742535481, 0.009169009779144392, 0.008723675054310593, 0.008343175462333595, 0.0080137310033885, 0.007543479262392462, 0.007228618714944919, 0.006962478631843293, 0.00659821575889757, 0.006269362876537334, 0.00599667815671145, 0.00572911183621474, 0.005570858390872161, 0.005368265713951062]","[0.03984550138661992, 0.03339072885688936, 0.030001218771366665, 0.028684654347300005, 0.023128372847274405, 0.020635937601410036, 0.019075823126198543, 0.018157674366542347, 0.01735613389971902, 0.016149368483336545, 0.016268909655486618, 0.01485962127345475, 0.014665450334124043, 0.013725236194232923, 0.01629020880573032, 0.01393794225533302, 0.013747454999917462, 0.013301412610682788, 0.013282246396314737, 0.012644140094822062, 0.01422589673106179, 0.013677652405273041, 0.013735373020167377, 0.012051857105865963, 0.01264130735873249, 0.015410486974307877, 0.01240895673064424, 0.012240167664928747, 0.018006502142830283, 0.012242556556936332]"
